ID;environment;0;1;2;3;4;5;6;7;8;9;10
1;alluvial fan;no;no;no;no;no;no;no;no;no;no;no
2;channel belt;no;no;no;ppl,troughcrosslamination,currentripples,flute;troughcrosslamination,flute;troughcrosslamination;lag;no;no;no;no
3;floodplain;no;no,roots,coal,plant;no;ppl,troughcrosslamination,currentripples,flute;troughcrosslamination,flute;no;no;no;no;no;no
4;lacustrine;no;no;currentripples;ppl,waveripples;waveripples;no;no;no;no;no;no
5;eolian;no;no;no;no;no,roots;troughcrosslamination;no;no;no;no;no
6;shoreface;no;no;hcs;no,waveripples;ppl,crosslamination;ppl;no;no;no;no;no
7;deep marine;no;no;no;no;no;no;no;no;no;no;no
8;turbidite;no;no;ppl;currentripples;ppl;no;flute;no;no;no;no
9;delta mouth bar;no;no,bioturbation;no,bioturbation;no,bioturbation;troughcrosslamination,mud drapes;troughcrosslamination,mud drapes;troughcrosslamination,mud drapes;no;no;no;no
10;delta channel;no;no;no;currentripples;troughcrosslamination,mud drapes;troughcrosslamination,mud drapes;troughcrosslamination,mud drapes;no;no;no;no
11;nodata;no;no;no;no;no;no;no;no;no;no;no
